2023-01-10 21:17:15 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-10 21:17:15 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-10 21:17:15 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:17:15 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (3fe93615fd8b5964e0bb4c1ca3ff8b3f)] -> xpath: //h2[text()='My Account']]
2023-01-10 21:17:15 INFO  CustomListener:22 - Test execution has passed for : loginVerify
2023-01-10 21:17:17 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:20 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-10 21:17:20 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-10 21:17:20 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:17:20 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-10 21:17:20 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:17:20 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> css selector: li.dropdown span:first-of-type]
2023-01-10 21:17:20 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-10 21:17:20 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-10 21:17:20 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:20 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (354c77fd524ab86aa5487f2db35dcd93)] -> xpath: //a[text()='Login']]
2023-01-10 21:17:20 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-10 21:17:20 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-10 21:17:20 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
